city,id,num,cluster,detail
강남구,11680,1,3,4
강동구,11740,2,3,3
강북구,11305,3,2,6
강서구,11500,4,2,5
관악구,11620,5,1,2
광진구,11215,6,2,6
구로구,11530,7,3,4
금천구,11545,8,3,3
노원구,11350,9,2,5
도봉구,11320,10,2,6
동대문구,11230,11,2,6
동작구,11590,12,1,1
마포구,11440,13,3,3
서대문구,11410,14,3,3
서초구,11650,15,2,5
성동구,11200,16,3,4
성북구,11290,17,3,4
송파구,11710,18,2,5
양천구,11470,19,3,4
영등포구,11560,20,1,1
용산구,11170,21,1,2
은평구,11380,22,2,5
종로구,11110,23,1,2
중구,11140,24,3,3
중랑구,11260,25,2,6
